Nome;Tipo de Produto;Data de vencimento;Prazo até o vencimento;PL;SR;JR;Carteira;Caixa Livre;Fundo de Reserva;R.G.;Saldo em Aplicações;I.S.;I.S. (Tranche);% de Atraso;% de PDD;Rentabilidade Média Ativos %;Desenquadramentos;Próximo Pagamento;Originador;Emissor;Tipo de Oferta Sênior;Tipos de Ativos;Status do Pool
Faighus Pool #1;Pool;14/06/2027;716.0;R$ 1.440.592,19;R$ 1.008.567,50;R$ 432.024,69;R$ 813.110,71;R$ 602.546,72;R$ 25.000,00;R$ 0,87;R$ 0,00;30,0%;25,0%;1,1%;65,2%;6,8%;;13/07/2025;FAIGHUS SECURITIZADORA S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Captação finalizada
Price Pool #1 ;Pool;24/06/2027;726.0;R$ 974.471,94;R$ 751.888,20;R$ 222.583,74;R$ 214.970,74;R$ 734.501,20;R$ 25.000,00;R$ 0,29;R$ 0,00;22,8%;20,0%;;0,0%;5,6%;Concentração máx por sacado, Concentração máx por cedente em percentual;24/07/2025;PRICE SECURITIZADORA S/A;;Oferta Privada;Duplicata;Em captação
Blipay Pool #2;Pool;13/07/2027;745.0;R$ 1.355.827,92;R$ 960.778,00;R$ 395.049,92;R$ 2.163.608,49;R$ 680.693,87;R$ 25.000,00;R$ 2,66;R$ 0,00;29,1%;30,0%;94,4%;1.118.518,8%;35,4%;Nível crítico de Subordinação da tranche Sênior;13/02/2027;BLIPAY INTERMEDIACAO DE NEGOCIOS E TECNOLOGIA LTDA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;CCB;Captação finalizada
Maralto Pool #2;Pool;06/08/2027;769.0;R$ 1.388.921,73;R$ 1.492.795,42;R$ 0,00;R$ 0,00;R$ 48.429,09;R$ 0,00;R$ 0,00;R$ 0,00;;0,0%;;0,0%;;;06/08/2027;AMFI CONSULTING LTDA;;Oferta Privada;Recebível de Cartão / Nota Comercial / CPR / Duplicata / CCB / Ativo Judicial;Em captação
Credmei Pool #2;Pool;28/10/2027;852.0;R$ 23.578.129,87;R$ 20.575.861,50;R$ 3.002.268,37;R$ 21.191.814,61;R$ 0,00;R$ 0,00;R$ 1,07;R$ 0,00;12,7%;10,0%;1,8%;164.658,7%;2,8%;;14/10/2027;CREDMEI SECURITIZADORA S/A;;Oferta Privada;Duplicata;Captação finalizada
AmFi Renda Mensal;Pool;19/11/2027;874.0;R$ 4.610.257,07;R$ 1.974.915,42;R$ 579.424,64;R$ 0,00;R$ 0,01;R$ 0,00;R$ 0,00;R$ 0,00;;25,0%;;0,0%;;;21/07/2025;AMFI CONSULTING LTDA;;Oferta Pública;CCB / Recebível de Cartão / Duplicata / Nota Comercial;Captação finalizada
B.Invest Pool #1;Pool;23/11/2027;878.0;R$ 45.491.751,73;R$ 38.046.998,98;R$ 5.768.504,24;R$ 40.073.991,15;R$ 503.515,20;R$ 18.000,00;R$ 1,10;R$ 5.000.499,27;16,4%;15,0%;3,4%;83.517,8%;3,1%;;21/12/2026;B.Invest Securitizadora de Créditos S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Em captação
Syntheo Pool #1;Pool;30/11/2027;885.0;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.225,00;;R$ 0,00;;30,0%;;0,0%;;;28/12/2026;SYNTHÉO SECURITIZADORA DE CRÉDITOS S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Pública;Duplicata;Cancelada
Formento Pool #4;Pool;02/12/2027;887.0;R$ 2.606.637,35;R$ 2.028.495,96;R$ 578.141,39;R$ 1.964.329,34;R$ 618.773,68;R$ 25.000,00;R$ 1,01;R$ 0,00;22,2%;20,0%;4,6%;1.465,7%;3,7%;Concentração máx por cedente em percentual;02/07/2025;Formento Securitizadora S.A.;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;Duplicata;Em captação
Baru Pool #2;Pool;10/12/2027;895.0;R$ 6.744.087,34;R$ 5.042.998,82;R$ 1.701.088,52;R$ 6.710.837,78;R$ 8.260,25;R$ 25.000,00;R$ 1,70;R$ 0,00;25,2%;25,0%;0,0%;10,7%;1,9%;Concentração máx por sacado;10/07/2025;GRIFFIN CAPITAL S.A. SECURITIZADORA;AMFI COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS I SA;Oferta Privada;CCB;Captação finalizada
UnionNational Pool #5;Pool;03/01/2028;919.0;R$ 9.725.475,38;R$ 7.616.684,95;R$ 2.108.790,44;R$ 8.819.765,26;R$ 887.477,37;R$ 30.000,00;R$ 1,18;R$ 0,00;21,7%;20,0%;1,6%;11.767,2%;2,1%;;02/02/2027;SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;;Oferta Privada;Duplicata;Em captação
